timestamp,test_time_seconds,test_loss,accuracy,precision,recall,f1,f2_score,auc,phase1_time,phase2_time,notes,class_distribution,prediction_distribution,name,BATCH_SIZE,LEARNING_RATE,metric,mode,drop Out,category,IMG_SIZE,confusion_matrix,error,model_iid_name
2025-04-27T07:23:56.978126,26.40666771,0.149102792,0.94212963,0.924369748,0.934844193,0.929577465,0.932730356,0.986118426,504.7790365,3233.757333,"Xception_On_Xception , val auc, epoch 10: 80,doptout: 0.2, batch: 32, categori : Transfer_Models","{0: 1022, 1: 706}","{0: 1014, 1: 714}",Xception_On_Xception,32,0.0001,val_auc,max,0.2,Transfer_Models,"(229, 229)","[[968, 54], [46, 660]]",,Xception_On_Xception_20250427_072202
2025-04-27T07:48:44.644575,19.965837,0.293415695,0.877893519,0.857142857,0.841359773,0.849177984,0.844469719,0.946289284,174.2175667,521.1138537,"EfficientNetB0_On_Xception , val auc, epoch 10: 80,doptout: 0.2, batch: 32, categori : Transfer_Models","{0: 1022, 1: 706}","{0: 1035, 1: 693}",EfficientNetB0_On_Xception,32,0.0001,val_auc,max,0.2,Transfer_Models,"(224, 224)","[[923, 99], [112, 594]]",,EfficientNetB0_On_Xception_20250427_074821
2025-04-27T18:14:30.350874,18.3366766,0.269154012,0.894097222,0.882869693,0.854107649,0.86825054,0.859709153,0.955648537,147.5646245,769.2387938,"MobileNetV3Large_On_Xception , val auc, epoch 10: 80,doptout: 0.2, batch: 32, categori : Transfer_Models","{0: 1022, 1: 706}","{0: 1045, 1: 683}",MobileNetV3Large_On_Xception,32,0.003,val_auc,max,0.2,Transfer_Models,"(224, 224)","[[942, 80], [103, 603]]",,MobileNetV3Large_On_Xception_20250427_181358
2025-04-27T18:45:21.880726,29.14568949,0.294815928,0.88016055,0.876651982,0.826869806,0.8510335,0.836368731,0.947793962,244.0817547,438.0533762,"EfficientNetB3_On_Xception , val auc, epoch 10: 80,doptout: 0.2, batch: 16, categori : Transfer_Models","{0: 1022, 1: 722}","{0: 1063, 1: 681}",EfficientNetB3_On_Xception,16,0.0001,val_auc,max,0.2,Transfer_Models,"(300, 300)","[[938, 84], [125, 597]]",,EfficientNetB3_On_Xception_20250427_184449
